Code,State,Population_2019,Population_2010
US-CA,California,39512223,37254523
US-TX,Texas,28995881,25145561
US-FL,Florida,21477737,18801310
US-NY,New York,19453561,19378102
US-PA,Pennsylvania,12801989,12702379
US-IL,Illinois,12671821,12830632
US-OH,Ohio,11689100,11536504
GEO,Georgia,10617423,9687653
US-NC,North Carolina,10488084,9535483
US-MI,Michigan,9986857,9883640
US-NJ,New Jersey,8882190,8791894
US-VA,Virginia,8535519,8001024
US-WA,Washington,7614893,6724540
US-AZ,Arizona,7278717,6392017
US-MA,Massachusetts,6949503,6547629
US-TN,Tennessee,6833174,6346105
US-IN,Indiana,6732219,6483802
US-MO,Missouri,6137428,5988927
US-MD,Maryland,6045680,5773552
US-WI,Wisconsin,5822434,5686986
US-CO,Colorado,5758736,5029196
US-MN,Minnesota,5639632,5303925
US-SC,South Carolina,5148714,4625364
US-AL,Alabama,4903185,4779736
US-LA,Louisiana,4648794,4533372
US-KY,Kentucky,4467673,4339367
US-OR,Oregon,4217737,3831074
US-OK,Oklahoma,3956971,3751351
US-CT,Connecticut,3565287,3574097
US-UT,Utah,3205958,2763885
PRI,Puerto Rico,3193694,3725789
US-IA,Iowa,3155070,3046355
US-NV,Nevada,3080156,2700551
US-AR,Arkansas,3017825,2915918
US-MS,Mississippi,2976149,2967297
US-KS,Kansas,2913314,2853118
US-NM,New Mexico,2096829,2059179
US-NE,Nebraska,1934408,1826341
US-WV,West Virginia,1792147,1852994
US-ID,Idaho,1787065,1567582
US-HI,Hawaii,1415872,1360301
US-NH,New Hampshire,1359711,1316470
US-ME,Maine,1344212,1328361
US-MT,Montana,1068778,989415
US-RI,Rhode Island,1059361,1052567
US-DE,Delaware,973764,897934
US-SD,South Dakota,884659,814180
US-ND,North Dakota,762062,672591
US-AK,Alaska,731545,710231
US-DC,District of Columbia,705749,601723
US-VT,Vermont,623989,625741
US-WY,Wyoming,578759,563626
,Guam,165718,159358
,U.S. Virgin Islands,104914,106405
,American Samoa,55641,55519
,Northern Mariana Islands,55194,53883
